
🍎官方提示,#genre#
电视盒子,https://files.imdodo.com/dodo/bd66236833d49410729f76377d96ec02.mp4



🍎采集,#genre#

### START_INSERT ###

广电 翡翠,rtmp://27.223.28.254:40085/hls/yifatvgdfc
TVB 翡翠2,rtmp://27.223.28.254:40085/vlive/yifatvjade
TVB 翡翠,http://223.244.26.190:8082/tvb翡翠-盗源者死全家/易發TV/hls.m3u8
Now 星影,http://223.244.26.190:8082/now星影-盗源者死全家/易發TV/hls.m3u8
Now 爆谷,http://223.244.26.190:8082/now包谷-盗源者死全家/易發TV/hls.m3u8
无线 新闻,http://223.244.26.190:8082/tvb新闻-盗源者死全家/易發TV/hls.m3u8
TVB plus,http://223.244.26.190:8082/j2-盗源者死全家/易發TV/hls.m3u8
有线 18,rtmp://27.223.28.254:40085/hls/yifatvyx18
HOY 77,http://39.101.75.133:80/hoy77-盗源者死全家/易發TV/hls.m3u8
HOY 78,http://39.101.75.133:80/hoy78-盗源者死全家/易發TV/hls.m3u8
美亚电影,http://39.101.75.133:80/美亚电影-盗源者死全家/易發TV/hls.m3u8
爱尔达体育3,http://39.101.75.133:80/爱尔达体育3-盗源者死全家/易發TV/hls.m3u8
爱尔达综合300,http://220.249.51.134:10006/爱尔达300-盗源者死全家/易發TV/hls.m3u8
Now 新闻,http://139.196.45.155:80/now新闻-盗源者死全家/易發TV/hls.m3u8
东森新闻,http://220.249.51.134:10006/东森新闻-盗源者死全家/易發TV/hls.m3u8
中天新闻,http://220.249.51.134:10006/中天新闻-盗源者死全家/易發TV/hls.m3u8
中天新闻2,http://139.196.45.155:80/中天新闻-盗源者死全家/易發TV/hls.m3u8

极速港台2,#genre#
盗源狗si全家 全家下地狱
广电翡翠,https://short-link.me/gdfct
TVB 翡翠2,https://short-link.me/yifatvjade2
HOY 77,https://short-link.me/yifatvhoy77
Now 星影台,https://short-link.me/yifaxyt

TVB星河,https://s2.pub/TVB-PpcC-1
PopC电影,https://s2.pub/TVB-PpcC-2
黄金华剧台,https://s2.pub/TVB-PpcC-3

无线 新闻,http://live.cooltv.top/tv/tvb.php?id=2
凤凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
凤凰资讯,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8

中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬来体育,http://mtw.so/5yqGDH
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
