央视频道,#genre#

CCTV-1,http://a.wifi6.vip/mmgg1.php?id=cctv1
CCTV-2,http://a.wifi6.vip/mmgg1.php?id=cctv2
CCTV-3,http://a.wifi6.vip/mmgg1.php?id=cctv3
CCTV-4,http://a.wifi6.vip/mmgg1.php?id=cctv4
CCTV-4欧洲,http://a.wifi6.vip/mmgg1.php?id=cctv4o
CCTV-4美洲,http://a.wifi6.vip/mmgg1.php?id=cctv4a
CCTV-5,http://a.wifi6.vip/mmgg1.php?id=cctv5
CCTV-5+,http://a.wifi6.vip/mmgg1.php?id=cctv5p
CCTV-6,http://a.wifi6.vip/mmgg1.php?id=cctv6
CCTV-7,http://a.wifi6.vip/mmgg1.php?id=cctv7
CCTV-8,http://a.wifi6.vip/mmgg1.php?id=cctv8
CCTV-9,http://a.wifi6.vip/mmgg1.php?id=cctv9
CCTV-10,http://a.wifi6.vip/mmgg1.php?id=cctv10
CCTV-11,http://a.wifi6.vip/mmgg1.php?id=cctv11
CCTV-12,http://a.wifi6.vip/mmgg1.php?id=cctv12
CCTV-13,http://a.wifi6.vip/mmgg1.php?id=cctv13
CCTV-14,http://a.wifi6.vip/mmgg1.php?id=cctv14
CCTV-15,http://a.wifi6.vip/mmgg1.php?id=cctv15
CCTV-17,http://a.wifi6.vip/mmgg1.php?id=cctv17



CCTV-1,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV-2,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV-3,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV-4,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV-4欧洲,http://ygbh666.cn/aikmigu.php?id=cctv4o
CCTV-4美洲,http://ygbh666.cn/aikmigu.php?id=cctv4a
CCTV-5,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV-5+,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV-6,http://ygbh666.cn/aikmigu.php?id=cctv6
CCTV-7,http://ygbh666.cn/aikmigu.php?id=cctv7
CCTV-8,http://ygbh666.cn/aikmigu.php?id=cctv8
CCTV-9,http://ygbh666.cn/aikmigu.php?id=cctv9
